�	NULL (U+0000)	00
꠸	NORTH INDIC RUPEE MARK (U+A838)	eaa0b8
꠹	NORTH INDIC QUANTITY MARK (U+A839)	eaa0b9
ꡀ	PHAGS-PA LETTER KA (U+A840)	eaa180
ꡁ	PHAGS-PA LETTER KHA (U+A841)
ꡂ	PHAGS-PA LETTER GA (U+A842)	eaa182
ꡃ	PHAGS-PA LETTER NGA (U+A843)	eaa183
ꡄ	PHAGS-PA LETTER CA (U+A844)	eaa184
ꡅ	PHAGS-PA LETTER CHA (U+A845)	eaa185
ꡆ	PHAGS-PA LETTER JA (U+A846)	eaa186
ꡇ	PHAGS-PA LETTER NYA (U+A847)	eaa187
ꡈ	PHAGS-PA LETTER TA (U+A848)	eaa188
ꡉ	PHAGS-PA LETTER THA (U+A849)	eaa189
ꡊ	PHAGS-PA LETTER DA (U+A84A)	eaa18a
ꡋ	PHAGS-PA LETTER NA (U+A84B)	eaa18b
ꡌ	PHAGS-PA LETTER PA (U+A84C)	eaa18c
ꡍ	PHAGS-PA LETTER PHA (U+A84D)	eaa18d
ꡎ	PHAGS-PA LETTER BA (U+A84E)	eaa18e
ꡏ	PHAGS-PA LETTER MA (U+A84F)	eaa18f
ꡐ	PHAGS-PA LETTER TSA (U+A850)	eaa190
ꡑ	PHAGS-PA LETTER TSHA (U+A851)	eaa191
ꡒ	PHAGS-PA LETTER DZA (U+A852)	eaa192
ꡓ	PHAGS-PA LETTER WA (U+A853)	eaa193
ꡔ	PHAGS-PA LETTER ZHA (U+A854)	eaa194
ꡕ	PHAGS-PA LETTER ZA (U+A855)	eaa195
ꡖ	PHAGS-PA LETTER SMALL A (U+A856)	eaa196
ꡗ	PHAGS-PA LETTER YA (U+A857)	eaa197
ꡘ	PHAGS-PA LETTER RA (U+A858)	eaa198
ꡙ	PHAGS-PA LETTER LA (U+A859)	eaa199
ꡚ	PHAGS-PA LETTER SHA (U+A85A)	eaa19a
ꡛ	PHAGS-PA LETTER SA (U+A85B)	eaa19b
ꡜ	PHAGS-PA LETTER HA (U+A85C)	eaa19c
ꡝ	PHAGS-PA LETTER A (U+A85D)	eaa19d
ꡞ	PHAGS-PA LETTER I (U+A85E)	eaa19e
ꡟ	PHAGS-PA LETTER U (U+A85F)	eaa19f
ꡠ	PHAGS-PA LETTER E (U+A860)	eaa1a0
ꡡ	PHAGS-PA LETTER O (U+A861)	eaa1a1
ꡢ	PHAGS-PA LETTER QA (U+A862)	eaa1a2
ꡣ	PHAGS-PA LETTER XA (U+A863)	eaa1a3
ꡤ	PHAGS-PA LETTER FA (U+A864)	eaa1a4
ꡥ	PHAGS-PA LETTER GGA (U+A865)	eaa1a5
ꡦ	PHAGS-PA LETTER EE (U+A866)	eaa1a6
ꡧ	PHAGS-PA SUBJOINED LETTER WA (U+A867)	eaa1a7
ꡨ	PHAGS-PA SUBJOINED LETTER YA (U+A868)	eaa1a8
ꡩ	PHAGS-PA LETTER TTA (U+A869)	eaa1a9
ꡪ	PHAGS-PA LETTER TTHA (U+A86A)	eaa1aa
ꡫ	PHAGS-PA LETTER DDA (U+A86B)	eaa1ab
ꡬ	PHAGS-PA LETTER NNA (U+A86C)	eaa1ac
ꡭ	PHAGS-PA LETTER ALTERNATE YA (U+A86D)	eaa1ad
ꡮ	PHAGS-PA LETTER VOICELESS SHA (U+A86E)	eaa1ae
ꡯ	PHAGS-PA LETTER VOICED HA (U+A86F)	eaa1af
ꡰ	PHAGS-PA LETTER ASPIRATED FA (U+A870)	eaa1b0
ꡱ	PHAGS-PA SUBJOINED LETTER RA (U+A871)	eaa1b1
ꡲ	PHAGS-PA SUPERFIXED LETTER RA (U+A872)	eaa1b2
ꡳ	PHAGS-PA LETTER CANDRABINDU (U+A873)	eaa1b3
꡴	PHAGS-PA SINGLE HEAD MARK (U+A874)	eaa1b4
꡵	PHAGS-PA DOUBLE HEAD MARK (U+A875)	eaa1b5
꡶	PHAGS-PA MARK SHAD (U+A876)	eaa1b6
꡷	PHAGS-PA MARK DOUBLE SHAD (U+A877)	eaa1b7
ꢀ	SAURASHTRA SIGN ANUSVARA (U+A880)	eaa280
ꢁ	SAURASHTRA SIGN VISARGA (U+A881)	eaa281
ꢂ	SAURASHTRA LETTER A (U+A882)	eaa282
ꢃ	SAURASHTRA LETTER AA (U+A883)	eaa283
ꢄ	SAURASHTRA LETTER I (U+A884)	eaa284
ꢅ	SAURASHTRA LETTER II (U+A885)	eaa285
ꢆ	SAURASHTRA LETTER U (U+A886)	eaa286
ꢇ	SAURASHTRA LETTER UU (U+A887)	eaa287
ꢈ	SAURASHTRA LETTER VOCALIC R (U+A888)	eaa288
ꢉ	SAURASHTRA LETTER VOCALIC RR (U+A889)	eaa289
ꢊ	SAURASHTRA LETTER VOCALIC L (U+A88A)	eaa28a
ꢋ	SAURASHTRA LETTER VOCALIC LL (U+A88B)	eaa28b
ꢌ	SAURASHTRA LETTER E (U+A88C)	eaa28c
ꢍ	SAURASHTRA LETTER EE (U+A88D)	eaa28d
ꢎ	SAURASHTRA LETTER AI (U+A88E)	eaa28e
ꢏ	SAURASHTRA LETTER O (U+A88F)	eaa28f
ꢐ	SAURASHTRA LETTER OO (U+A890)	eaa290
ꢑ	SAURASHTRA LETTER AU (U+A891)	eaa291
ꢒ	SAURASHTRA LETTER KA (U+A892)	eaa292
ꢓ	SAURASHTRA LETTER KHA (U+A893)	eaa293
ꢔ	SAURASHTRA LETTER GA (U+A894)	eaa294
ꢕ	SAURASHTRA LETTER GHA (U+A895)	eaa295
ꢖ	SAURASHTRA LETTER NGA (U+A896)	eaa296
ꢗ	SAURASHTRA LETTER CA (U+A897)	eaa297
ꢘ	SAURASHTRA LETTER CHA (U+A898)	eaa298
ꢙ	SAURASHTRA LETTER JA (U+A899)	eaa299
ꢚ	SAURASHTRA LETTER JHA (U+A89A)	eaa29a
ꢛ	SAURASHTRA LETTER NYA (U+A89B)	eaa29b
ꢜ	SAURASHTRA LETTER TTA (U+A89C)	eaa29c
ꢝ	SAURASHTRA LETTER TTHA (U+A89D)	eaa29d
ꢞ	SAURASHTRA LETTER DDA (U+A89E)	eaa29e
ꢟ	SAURASHTRA LETTER DDHA (U+A89F)	eaa29f
ꢠ	SAURASHTRA LETTER NNA (U+A8A0)	eaa2a0
ꢡ	SAURASHTRA LETTER TA (U+A8A1)	eaa2a1
ꢢ	SAURASHTRA LETTER THA (U+A8A2)	eaa2a2
ꢣ	SAURASHTRA LETTER DA (U+A8A3)	eaa2a3
ꢤ	SAURASHTRA LETTER DHA (U+A8A4)	eaa2a4
ꢥ	SAURASHTRA LETTER NA (U+A8A5)	eaa2a5
ꢦ	SAURASHTRA LETTER PA (U+A8A6)	eaa2a6
ꢧ	SAURASHTRA LETTER PHA (U+A8A7)	eaa2a7
ꢨ	SAURASHTRA LETTER BA (U+A8A8)	eaa2a8
ꢩ	SAURASHTRA LETTER BHA (U+A8A9)	eaa2a9
ꢪ	SAURASHTRA LETTER MA (U+A8AA)	eaa2aa
ꢫ	SAURASHTRA LETTER YA (U+A8AB)	eaa2ab
ꢬ	SAURASHTRA LETTER RA (U+A8AC)	eaa2ac
ꢭ	SAURASHTRA LETTER LA (U+A8AD)	eaa2ad
ꢮ	SAURASHTRA LETTER VA (U+A8AE)	eaa2ae
ꢯ	SAURASHTRA LETTER SHA (U+A8AF)	eaa2af
ꢰ	SAURASHTRA LETTER SSA (U+A8B0)	eaa2b0
ꢱ	SAURASHTRA LETTER SA (U+A8B1)	eaa2b1
ꢲ	SAURASHTRA LETTER HA (U+A8B2)	eaa2b2
ꢳ	SAURASHTRA LETTER LLA (U+A8B3)	eaa2b3
ꢴ	SAURASHTRA CONSONANT SIGN HAARU (U+A8B4)	eaa2b4
ꢵ	SAURASHTRA VOWEL SIGN AA (U+A8B5)	eaa2b5
ꢶ	SAURASHTRA VOWEL SIGN I (U+A8B6)	eaa2b6
ꢷ	SAURASHTRA VOWEL SIGN II (U+A8B7)	eaa2b7
ꢸ	SAURASHTRA VOWEL SIGN U (U+A8B8)	eaa2b8
ꢹ	SAURASHTRA VOWEL SIGN UU (U+A8B9)	eaa2b9
ꢺ	SAURASHTRA VOWEL SIGN VOCALIC R (U+A8BA)	eaa2ba
ꢻ	SAURASHTRA VOWEL SIGN VOCALIC RR (U+A8BB)	eaa2bb
ꢼ	SAURASHTRA VOWEL SIGN VOCALIC L (U+A8BC)	eaa2bc
ꢽ	SAURASHTRA VOWEL SIGN VOCALIC LL (U+A8BD)	eaa2bd
ꢾ	SAURASHTRA VOWEL SIGN E (U+A8BE)	eaa2be
ꢿ	SAURASHTRA VOWEL SIGN EE (U+A8BF)	eaa2bf
ꣀ	SAURASHTRA VOWEL SIGN AI (U+A8C0)	eaa380
ꣁ	SAURASHTRA VOWEL SIGN O (U+A8C1)	eaa381
ꣂ	SAURASHTRA VOWEL SIGN OO (U+A8C2)	eaa382
ꣃ	SAURASHTRA VOWEL SIGN AU (U+A8C3)	eaa383
꣄	SAURASHTRA SIGN VIRAMA (U+A8C4)	eaa384
ꣅ	SAURASHTRA SIGN CANDRABINDU (U+A8C5)	eaa385
꣎	SAURASHTRA DANDA (U+A8CE)	eaa38e
꣏	SAURASHTRA DOUBLE DANDA (U+A8CF)	eaa38f
꣐	SAURASHTRA DIGIT ZERO (U+A8D0)	eaa390
꣑	SAURASHTRA DIGIT ONE (U+A8D1)	eaa391
꣒	SAURASHTRA DIGIT TWO (U+A8D2)	eaa392
꣓	SAURASHTRA DIGIT THREE (U+A8D3)	eaa393
꣔	SAURASHTRA DIGIT FOUR (U+A8D4)	eaa394
꣕	SAURASHTRA DIGIT FIVE (U+A8D5)	eaa395
꣖	SAURASHTRA DIGIT SIX (U+A8D6)	eaa396
꣗	SAURASHTRA DIGIT SEVEN (U+A8D7)	eaa397
꣘	SAURASHTRA DIGIT EIGHT (U+A8D8)	eaa398
꣙	SAURASHTRA DIGIT NINE (U+A8D9)	eaa399
꣠	COMBINING DEVANAGARI DIGIT ZERO (U+A8E0)	eaa3a0
꣡	COMBINING DEVANAGARI DIGIT ONE (U+A8E1)	eaa3a1
꣢	COMBINING DEVANAGARI DIGIT TWO (U+A8E2)	eaa3a2
꣣	COMBINING DEVANAGARI DIGIT THREE (U+A8E3)	eaa3a3
꣤	COMBINING DEVANAGARI DIGIT FOUR (U+A8E4)	eaa3a4
꣥	COMBINING DEVANAGARI DIGIT FIVE (U+A8E5)	eaa3a5
꣦	COMBINING DEVANAGARI DIGIT SIX (U+A8E6)	eaa3a6
꣧	COMBINING DEVANAGARI DIGIT SEVEN (U+A8E7)	eaa3a7
꣨	COMBINING DEVANAGARI DIGIT EIGHT (U+A8E8)	eaa3a8
꣩	COMBINING DEVANAGARI DIGIT NINE (U+A8E9)	eaa3a9
꣪	COMBINING DEVANAGARI LETTER A (U+A8EA)	eaa3aa
꣫	COMBINING DEVANAGARI LETTER U (U+A8EB)	eaa3ab
꣬	COMBINING DEVANAGARI LETTER KA (U+A8EC)	eaa3ac
꣭	COMBINING DEVANAGARI LETTER NA (U+A8ED)	eaa3ad
꣮	COMBINING DEVANAGARI LETTER PA (U+A8EE)	eaa3ae
꣯	COMBINING DEVANAGARI LETTER RA (U+A8EF)	eaa3af
꣰	COMBINING DEVANAGARI LETTER VI (U+A8F0)	eaa3b0
꣱	COMBINING DEVANAGARI SIGN AVAGRAHA (U+A8F1)	eaa3b1
ꣲ	DEVANAGARI SIGN SPACING CANDRABINDU (U+A8F2)	eaa3b2
ꣳ	DEVANAGARI SIGN CANDRABINDU VIRAMA (U+A8F3)	eaa3b3
ꣴ	DEVANAGARI SIGN DOUBLE CANDRABINDU VIRAMA (U+A8F4)	eaa3b4
ꣵ	DEVANAGARI SIGN CANDRABINDU TWO (U+A8F5)	eaa3b5
ꣶ	DEVANAGARI SIGN CANDRABINDU THREE (U+A8F6)	eaa3b6
ꣷ	DEVANAGARI SIGN CANDRABINDU AVAGRAHA (U+A8F7)	eaa3b7
꣸	DEVANAGARI SIGN PUSHPIKA (U+A8F8)	eaa3b8
꣹	DEVANAGARI GAP FILLER (U+A8F9)	eaa3b9
꣺	DEVANAGARI CARET (U+A8FA)	eaa3ba
ꣻ	DEVANAGARI HEADSTROKE (U+A8FB)	eaa3bb
꣼	DEVANAGARI SIGN SIDDHAM (U+A8FC)	eaa3bc
ꣽ	DEVANAGARI JAIN OM (U+A8FD)	eaa3bd
ꣾ	DEVANAGARI LETTER AY (U+A8FE)	eaa3be
ꣿ	DEVANAGARI VOWEL SIGN AY (U+A8FF)	eaa3bf
꤀	KAYAH LI DIGIT ZERO (U+A900)	eaa480
꤁	KAYAH LI DIGIT ONE (U+A901)	eaa481
꤂	KAYAH LI DIGIT TWO (U+A902)	eaa482
꤃	KAYAH LI DIGIT THREE (U+A903)	eaa483
꤄	KAYAH LI DIGIT FOUR (U+A904)	eaa484
꤅	KAYAH LI DIGIT FIVE (U+A905)	eaa485
꤆	KAYAH LI DIGIT SIX (U+A906)	eaa486
꤇	KAYAH LI DIGIT SEVEN (U+A907)	eaa487
꤈	KAYAH LI DIGIT EIGHT (U+A908)	eaa488
꤉	KAYAH LI DIGIT NINE (U+A909)	eaa489
ꤊ	KAYAH LI LETTER KA (U+A90A)	eaa48a
ꤋ	KAYAH LI LETTER KHA (U+A90B)	eaa48b
ꤌ	KAYAH LI LETTER GA (U+A90C)	eaa48c
ꤍ	KAYAH LI LETTER NGA (U+A90D)	eaa48d
ꤎ	KAYAH LI LETTER SA (U+A90E)	eaa48e
ꤏ	KAYAH LI LETTER SHA (U+A90F)	eaa48f
ꤐ	KAYAH LI LETTER ZA (U+A910)	eaa490
ꤑ	KAYAH LI LETTER NYA (U+A911)	eaa491
ꤒ	KAYAH LI LETTER TA (U+A912)	eaa492
ꤓ	KAYAH LI LETTER HTA (U+A913)	eaa493
ꤔ	KAYAH LI LETTER NA (U+A914)	eaa494
ꤕ	KAYAH LI LETTER PA (U+A915)	eaa495
ꤖ	KAYAH LI LETTER PHA (U+A916)	eaa496
ꤗ	KAYAH LI LETTER MA (U+A917)	eaa497
ꤘ	KAYAH LI LETTER DA (U+A918)	eaa498
ꤙ	KAYAH LI LETTER BA (U+A919)	eaa499
ꤚ	KAYAH LI LETTER RA (U+A91A)	eaa49a
ꤛ	KAYAH LI LETTER YA (U+A91B)	eaa49b
ꤜ	KAYAH LI LETTER LA (U+A91C)	eaa49c
ꤝ	KAYAH LI LETTER WA (U+A91D)	eaa49d
ꤞ	KAYAH LI LETTER THA (U+A91E)	eaa49e
ꤟ	KAYAH LI LETTER HA (U+A91F)	eaa49f
ꤠ	KAYAH LI LETTER VA (U+A920)	eaa4a0
ꤡ	KAYAH LI LETTER CA (U+A921)	eaa4a1
ꤢ	KAYAH LI LETTER A (U+A922)	eaa4a2
ꤣ	KAYAH LI LETTER OE (U+A923)	eaa4a3
ꤤ	KAYAH LI LETTER I (U+A924)	eaa4a4
ꤥ	KAYAH LI LETTER OO (U+A925)	eaa4a5
ꤦ	KAYAH LI VOWEL UE (U+A926)	eaa4a6
ꤧ	KAYAH LI VOWEL E (U+A927)	eaa4a7
ꤨ	KAYAH LI VOWEL U (U+A928)	eaa4a8
ꤩ	KAYAH LI VOWEL EE (U+A929)	eaa4a9
ꤪ	KAYAH LI VOWEL O (U+A92A)	eaa4aa
꤫	KAYAH LI TONE PLOPHU (U+A92B)	eaa4ab
꤬	KAYAH LI TONE CALYA (U+A92C)	eaa4ac
꤭	KAYAH LI TONE CALYA PLOPHU (U+A92D)	eaa4ad
꤮	KAYAH LI SIGN CWI (U+A92E)	eaa4ae
꤯	KAYAH LI SIGN SHYA (U+A92F)	eaa4af
ꤰ	REJANG LETTER KA (U+A930)	eaa4b0
ꤱ	REJANG LETTER GA (U+A931)	eaa4b1
ꤲ	REJANG LETTER NGA (U+A932)	eaa4b2
ꤳ	REJANG LETTER TA (U+A933)	eaa4b3
ꤴ	REJANG LETTER DA (U+A934)	eaa4b4
ꤵ	REJANG LETTER NA (U+A935)	eaa4b5
ꤶ	REJANG LETTER PA (U+A936)	eaa4b6
ꤷ	REJANG LETTER BA (U+A937)	eaa4b7
ꤸ	REJANG LETTER MA (U+A938)	eaa4b8
ꤹ	REJANG LETTER CA (U+A939)	eaa4b9
ꤺ	REJANG LETTER JA (U+A93A)	eaa4ba
ꤻ	REJANG LETTER NYA (U+A93B)	eaa4bb
ꤼ	REJANG LETTER SA (U+A93C)	eaa4bc
ꤽ	REJANG LETTER RA (U+A93D)	eaa4bd
ꤾ	REJANG LETTER LA (U+A93E)	eaa4be
ꤿ	REJANG LETTER YA (U+A93F)	eaa4bf
ꥀ	REJANG LETTER WA (U+A940)	eaa580
ꥁ	REJANG LETTER HA (U+A941)	eaa581
ꥂ	REJANG LETTER MBA (U+A942)	eaa582
ꥃ	REJANG LETTER NGGA (U+A943)	eaa583
ꥄ	REJANG LETTER NDA (U+A944)	eaa584
ꥅ	REJANG LETTER NYJA (U+A945)	eaa585
ꥆ	REJANG LETTER A (U+A946)	eaa586
ꥇ	REJANG VOWEL SIGN I (U+A947)	eaa587
ꥈ	REJANG VOWEL SIGN U (U+A948)	eaa588
ꥉ	REJANG VOWEL SIGN E (U+A949)	eaa589
ꥊ	REJANG VOWEL SIGN AI (U+A94A)	eaa58a
ꥋ	REJANG VOWEL SIGN O (U+A94B)	eaa58b
ꥌ	REJANG VOWEL SIGN AU (U+A94C)	eaa58c
ꥍ	REJANG VOWEL SIGN EU (U+A94D)	eaa58d
ꥎ	REJANG VOWEL SIGN EA (U+A94E)	eaa58e
ꥏ	REJANG CONSONANT SIGN NG (U+A94F)	eaa58f
ꥐ	REJANG CONSONANT SIGN N (U+A950)	eaa590
ꥑ	REJANG CONSONANT SIGN R (U+A951)	eaa591
ꥒ	REJANG CONSONANT SIGN H (U+A952)	eaa592
꥓	REJANG VIRAMA (U+A953)	eaa593
꥟	REJANG SECTION MARK (U+A95F)	eaa59f
ꥠ	HANGUL CHOSEONG TIKEUT-MIEUM (U+A960)	eaa5a0
ꥡ	HANGUL CHOSEONG TIKEUT-PIEUP (U+A961)	eaa5a1
ꥢ	HANGUL CHOSEONG TIKEUT-SIOS (U+A962)	eaa5a2
ꥣ	HANGUL CHOSEONG TIKEUT-CIEUC (U+A963)	eaa5a3
ꥤ	HANGUL CHOSEONG RIEUL-KIYEOK (U+A964)	eaa5a4
ꥥ	HANGUL CHOSEONG RIEUL-SSANGKIYEOK (U+A965)	eaa5a5
ꥦ	HANGUL CHOSEONG RIEUL-TIKEUT (U+A966)	eaa5a6
ꥧ	HANGUL CHOSEONG RIEUL-SSANGTIKEUT (U+A967)	eaa5a7
ꥨ	HANGUL CHOSEONG RIEUL-MIEUM (U+A968)	eaa5a8
ꥩ	HANGUL CHOSEONG RIEUL-PIEUP (U+A969)	eaa5a9
ꥪ	HANGUL CHOSEONG RIEUL-SSANGPIEUP (U+A96A)	eaa5aa
ꥫ	HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP (U+A96B)	eaa5ab
ꥬ	HANGUL CHOSEONG RIEUL-SIOS (U+A96C)	eaa5ac
ꥭ	HANGUL CHOSEONG RIEUL-CIEUC (U+A96D)	eaa5ad
ꥮ	HANGUL CHOSEONG RIEUL-KHIEUKH (U+A96E)	eaa5ae
ꥯ	HANGUL CHOSEONG MIEUM-KIYEOK (U+A96F)	eaa5af
ꥰ	HANGUL CHOSEONG MIEUM-TIKEUT (U+A970)	eaa5b0
ꥱ	HANGUL CHOSEONG MIEUM-SIOS (U+A971)	eaa5b1
ꥲ	HANGUL CHOSEONG PIEUP-SIOS-THIEUTH (U+A972)	eaa5b2
ꥳ	HANGUL CHOSEONG PIEUP-KHIEUKH (U+A973)	eaa5b3
ꥴ	HANGUL CHOSEONG PIEUP-HIEUH (U+A974)	eaa5b4
ꥵ	HANGUL CHOSEONG SSANGSIOS-PIEUP (U+A975)	eaa5b5
ꥶ	HANGUL CHOSEONG IEUNG-RIEUL (U+A976)	eaa5b6
ꥷ	HANGUL CHOSEONG IEUNG-HIEUH (U+A977)	eaa5b7
ꥸ	HANGUL CHOSEONG SSANGCIEUC-HIEUH (U+A978)	eaa5b8
ꥹ	HANGUL CHOSEONG SSANGTHIEUTH (U+A979)	eaa5b9
ꥺ	HANGUL CHOSEONG PHIEUPH-HIEUH (U+A97A)	eaa5ba
ꥻ	HANGUL CHOSEONG HIEUH-SIOS (U+A97B)	eaa5bb
ꥼ	HANGUL CHOSEONG SSANGYEORINHIEUH (U+A97C)	eaa5bc
ꦀ	JAVANESE SIGN PANYANGGA (U+A980)	eaa680
ꦁ	JAVANESE SIGN CECAK (U+A981)	eaa681
ꦂ	JAVANESE SIGN LAYAR (U+A982)	eaa682
ꦃ	JAVANESE SIGN WIGNYAN (U+A983)	eaa683
ꦄ	JAVANESE LETTER A (U+A984)	eaa684
ꦅ	JAVANESE LETTER I KAWI (U+A985)	eaa685
ꦆ	JAVANESE LETTER I (U+A986)	eaa686
ꦇ	JAVANESE LETTER II (U+A987)	eaa687
ꦈ	JAVANESE LETTER U (U+A988)	eaa688
ꦉ	JAVANESE LETTER PA CEREK (U+A989)	eaa689
ꦊ	JAVANESE LETTER NGA LELET (U+A98A)	eaa68a
ꦋ	JAVANESE LETTER NGA LELET RASWADI (U+A98B)	eaa68b
ꦌ	JAVANESE LETTER E (U+A98C)	eaa68c
ꦍ	JAVANESE LETTER AI (U+A98D)	eaa68d
ꦎ	JAVANESE LETTER O (U+A98E)	eaa68e
ꦏ	JAVANESE LETTER KA (U+A98F)	eaa68f
ꦐ	JAVANESE LETTER KA SASAK (U+A990)	eaa690
ꦑ	JAVANESE LETTER KA MURDA (U+A991)	eaa691
ꦒ	JAVANESE LETTER GA (U+A992)	eaa692
ꦓ	JAVANESE LETTER GA MURDA (U+A993)	eaa693
ꦔ	JAVANESE LETTER NGA (U+A994)	eaa694
ꦕ	JAVANESE LETTER CA (U+A995)	eaa695
ꦖ	JAVANESE LETTER CA MURDA (U+A996)	eaa696
ꦗ	JAVANESE LETTER JA (U+A997)	eaa697
ꦘ	JAVANESE LETTER NYA MURDA (U+A998)	eaa698
ꦙ	JAVANESE LETTER JA MAHAPRANA (U+A999)	eaa699
ꦚ	JAVANESE LETTER NYA (U+A99A)	eaa69a
ꦛ	JAVANESE LETTER TTA (U+A99B)	eaa69b
ꦜ	JAVANESE LETTER TTA MAHAPRANA (U+A99C)	eaa69c
ꦝ	JAVANESE LETTER DDA (U+A99D)	eaa69d
ꦞ	JAVANESE LETTER DDA MAHAPRANA (U+A99E)	eaa69e
ꦟ	JAVANESE LETTER NA MURDA (U+A99F)	eaa69f
ꦠ	JAVANESE LETTER TA (U+A9A0)	eaa6a0
ꦡ	JAVANESE LETTER TA MURDA (U+A9A1)	eaa6a1
ꦢ	JAVANESE LETTER DA (U+A9A2)	eaa6a2
ꦣ	JAVANESE LETTER DA MAHAPRANA (U+A9A3)	eaa6a3
ꦤ	JAVANESE LETTER NA (U+A9A4)	eaa6a4
ꦥ	JAVANESE LETTER PA (U+A9A5)	eaa6a5
ꦦ	JAVANESE LETTER PA MURDA (U+A9A6)	eaa6a6
ꦧ	JAVANESE LETTER BA (U+A9A7)	eaa6a7
ꦨ	JAVANESE LETTER BA MURDA (U+A9A8)	eaa6a8
ꦩ	JAVANESE LETTER MA (U+A9A9)	eaa6a9
ꦪ	JAVANESE LETTER YA (U+A9AA)	eaa6aa
ꦫ	JAVANESE LETTER RA (U+A9AB)	eaa6ab
ꦬ	JAVANESE LETTER RA AGUNG (U+A9AC)	eaa6ac
ꦭ	JAVANESE LETTER LA (U+A9AD)	eaa6ad
ꦮ	JAVANESE LETTER WA (U+A9AE)	eaa6ae
ꦯ	JAVANESE LETTER SA MURDA (U+A9AF)	eaa6af
ꦰ	JAVANESE LETTER SA MAHAPRANA (U+A9B0)	eaa6b0
ꦱ	JAVANESE LETTER SA (U+A9B1)	eaa6b1
ꦲ	JAVANESE LETTER HA (U+A9B2)	eaa6b2
꦳	JAVANESE SIGN CECAK TELU (U+A9B3)	eaa6b3
ꦴ	JAVANESE VOWEL SIGN TARUNG (U+A9B4)	eaa6b4
ꦵ	JAVANESE VOWEL SIGN TOLONG (U+A9B5)	eaa6b5
ꦶ	JAVANESE VOWEL SIGN WULU (U+A9B6)	eaa6b6
ꦷ	JAVANESE VOWEL SIGN WULU MELIK (U+A9B7)	eaa6b7
ꦸ	JAVANESE VOWEL SIGN SUKU (U+A9B8)	eaa6b8
ꦹ	JAVANESE VOWEL SIGN SUKU MENDUT (U+A9B9)	eaa6b9
ꦺ	JAVANESE VOWEL SIGN TALING (U+A9BA)	eaa6ba
ꦻ	JAVANESE VOWEL SIGN DIRGA MURE (U+A9BB)	eaa6bb
ꦼ	JAVANESE VOWEL SIGN PEPET (U+A9BC)	eaa6bc
ꦽ	JAVANESE CONSONANT SIGN KERET (U+A9BD)	eaa6bd
ꦾ	JAVANESE CONSONANT SIGN PENGKAL (U+A9BE)	eaa6be
ꦿ	JAVANESE CONSONANT SIGN CAKRA (U+A9BF)	eaa6bf
꧀	JAVANESE PANGKON (U+A9C0)	eaa780
꧁	JAVANESE LEFT RERENGGAN (U+A9C1)	eaa781
꧂	JAVANESE RIGHT RERENGGAN (U+A9C2)	eaa782
꧃	JAVANESE PADA ANDAP (U+A9C3)	eaa783
꧄	JAVANESE PADA MADYA (U+A9C4)	eaa784
꧅	JAVANESE PADA LUHUR (U+A9C5)	eaa785
꧆	JAVANESE PADA WINDU (U+A9C6)	eaa786
꧇	JAVANESE PADA PANGKAT (U+A9C7)	eaa787
꧈	JAVANESE PADA LINGSA (U+A9C8)	eaa788
꧉	JAVANESE PADA LUNGSI (U+A9C9)	eaa789
꧊	JAVANESE PADA ADEG (U+A9CA)	eaa78a
꧋	JAVANESE PADA ADEG ADEG (U+A9CB)	eaa78b
꧌	JAVANESE PADA PISELEH (U+A9CC)	eaa78c
꧍	JAVANESE TURNED PADA PISELEH (U+A9CD)	eaa78d
ꧏ	JAVANESE PANGRANGKEP (U+A9CF)	eaa78f
꧐	JAVANESE DIGIT ZERO (U+A9D0)	eaa790
꧑	JAVANESE DIGIT ONE (U+A9D1)	eaa791
꧒	JAVANESE DIGIT TWO (U+A9D2)	eaa792
꧓	JAVANESE DIGIT THREE (U+A9D3)	eaa793
꧔	JAVANESE DIGIT FOUR (U+A9D4)	eaa794
꧕	JAVANESE DIGIT FIVE (U+A9D5)	eaa795
꧖	JAVANESE DIGIT SIX (U+A9D6)	eaa796
꧗	JAVANESE DIGIT SEVEN (U+A9D7)	eaa797
꧘	JAVANESE DIGIT EIGHT (U+A9D8)	eaa798
꧙	JAVANESE DIGIT NINE (U+A9D9)	eaa799
꧞	JAVANESE PADA TIRTA TUMETES (U+A9DE)	eaa79e
꧟	JAVANESE PADA ISEN-ISEN (U+A9DF)	eaa79f
ꧠ	MYANMAR LETTER SHAN GHA (U+A9E0)	eaa7a0
ꧡ	MYANMAR LETTER SHAN CHA (U+A9E1)	eaa7a1
ꧢ	MYANMAR LETTER SHAN JHA (U+A9E2)	eaa7a2
ꧣ	MYANMAR LETTER SHAN NNA (U+A9E3)	eaa7a3
ꧤ	MYANMAR LETTER SHAN BHA (U+A9E4)	eaa7a4
ꧥ	MYANMAR SIGN SHAN SAW (U+A9E5)	eaa7a5
ꧦ	MYANMAR MODIFIER LETTER SHAN REDUPLICATION (U+A9E6)	eaa7a6
ꧧ	MYANMAR LETTER TAI LAING NYA (U+A9E7)	eaa7a7
ꧨ	MYANMAR LETTER TAI LAING FA (U+A9E8)	eaa7a8
ꧩ	MYANMAR LETTER TAI LAING GA (U+A9E9)	eaa7a9
ꧪ	MYANMAR LETTER TAI LAING GHA (U+A9EA)	eaa7aa
